adi_EST_assem_1|m.1 adi_EST_assem_1|g.1  ,adig1,_ , 2, -, -, -,  N,-,193,-,-
adi_EST_assem_1|m.2 adi_EST_assem_1|g.2  ,adig2,_ , 4, -, -, -,  N,-,188,-,-
adi_EST_assem_10|m.17 adi_EST_assem_10|g.17  ,adig3,_ , 3, -, -, -,  N,-,489,-,-
adi_EST_assem_10|m.16 adi_EST_assem_10|g.16  ,adig4,_ , 1, -, -, -,  N,-,6159,-,-
adi_EST_assem_100|m.172 adi_EST_assem_100|g.172  ,adig5,_ , 1, -, -, -,  N,-,1129,-,-
adi_EST_assem_1000|m.1586 adi_EST_assem_1000|g.1586  ,adig6,S , 5, -, -, -,  N,-,891,-,-
adi_EST_assem_10000|m.12410 adi_EST_assem_10000|g.12410  ,adig7,_ , 5, -, -, -,  N,-,321,-,-
adi_EST_assem_10001|m.12411 adi_EST_assem_10001|g.12411  ,adig8,_ , 1, -, -, -,  N,-,640,-,-
adi_EST_assem_10002|m.12413 adi_EST_assem_10002|g.12413  ,adig9,_ , 3, -, -, -,  N,-,816,-,-
adi_EST_assem_10004|m.12414 adi_EST_assem_10004|g.12414  ,adig10,_ , 1, -, -, -,  N,-,105,-,-
adi_EST_assem_10005|m.12415 adi_EST_assem_10005|g.12415  ,adig11,_ , 2, hsap1577, mmus444, -,  Y,PXMP2,202,Pxmp2,-
adi_EST_assem_10007|m.12416 adi_EST_assem_10007|g.12416  ,adig12,_ , 3, -, -, -,  N,-,102,-,-
adi_EST_assem_1001|m.1589 adi_EST_assem_1001|g.1589  ,adig13,_ , 2, -, -, -,  N,-,711,-,-
adi_EST_assem_10012|m.12417 adi_EST_assem_10012|g.12417  ,adig14,_ , 3, -, -, -,  N,-,251,-,-
adi_EST_assem_10013|m.12418 adi_EST_assem_10013|g.12418  ,adig15,S , 3, -, -, -,  N,-,184,-,-
adi_EST_assem_10015|m.12419 adi_EST_assem_10015|g.12419  ,adig16,_ , 2, -, -, -,  N,-,750,-,-
adi_EST_assem_10017|m.12420 adi_EST_assem_10017|g.12420  ,adig17,_ , 4, -, -, -,  N,-,160,-,-
adi_EST_assem_10017|m.12421 adi_EST_assem_10017|g.12421  ,adig18,_ , 1, -, -, -,  N,-,129,-,-
adi_EST_assem_10018|m.12422 adi_EST_assem_10018|g.12422  ,adig19,S , 2, -, -, -,  N,-,398,-,-
adi_EST_assem_10019|m.12423 adi_EST_assem_10019|g.12423  ,adig20,_ , 2, -, -, -,  N,-,118,-,-
adi_EST_assem_10019|m.12424 adi_EST_assem_10019|g.12424  ,adig21,_ , 4, -, -, -,  N,-,114,-,-
adi_EST_assem_1002|m.1590 adi_EST_assem_1002|g.1590  ,adig22,_ , 1, -, -, -,  N,-,307,-,-
adi_EST_assem_10020|m.12425 adi_EST_assem_10020|g.12425  ,adig23,_ , 1, -, -, -,  N,-,461,-,-
adi_EST_assem_10021|m.12428 adi_EST_assem_10021|g.12428  ,adig24,_ , 2, -, -, -,  N,-,639,-,-
adi_EST_assem_10022|m.12430 adi_EST_assem_10022|g.12430  ,adig25,S , 1, -, -, -,  N,-,199,-,-
adi_EST_assem_10024|m.12431 adi_EST_assem_10024|g.12431  ,adig26,_ , 1, -, -, -,  N,-,622,-,-
adi_EST_assem_10029|m.12432 adi_EST_assem_10029|g.12432  ,adig27,_ , 1, -, -, -,  N,-,235,-,-
adi_EST_assem_10030|m.12433 adi_EST_assem_10030|g.12433  ,adig28,_ , 2, -, -, -,  N,-,479,-,-
adi_EST_assem_10031|m.12435 adi_EST_assem_10031|g.12435  ,adig29,S , 1, -, -, -,  N,-,1036,-,-
adi_EST_assem_10032|m.12437 adi_EST_assem_10032|g.12437  ,adig30,M , 3, -, -, -,  Y,-,373,-,-
adi_EST_assem_10034|m.12438 adi_EST_assem_10034|g.12438  ,adig31,S , 1, -, -, -,  N,-,575,-,-
adi_EST_assem_1004|m.1591 adi_EST_assem_1004|g.1591  ,adig32,S , 2, -, -, -,  N,-,192,-,-
adi_EST_assem_10040|m.12440 adi_EST_assem_10040|g.12440  ,adig33,_ , 1, -, -, -,  N,-,353,-,-
adi_EST_assem_10042|m.12443 adi_EST_assem_10042|g.12443  ,adig34,S , 1, -, -, -,  N,-,484,-,-
adi_EST_assem_10044|m.12444 adi_EST_assem_10044|g.12444  ,adig35,_ , 2, -, -, -,  N,-,661,-,-
adi_EST_assem_10045|m.12447 adi_EST_assem_10045|g.12447  ,adig36,_ , 5, -, -, -,  N,-,168,-,-
adi_EST_assem_10048|m.12448 adi_EST_assem_10048|g.12448  ,adig37,_ , 1, -, -, -,  N,-,142,-,-
adi_EST_assem_10054|m.12449 adi_EST_assem_10054|g.12449  ,adig38,_ , 1, -, -, -,  N,-,299,-,-
adi_EST_assem_10055|m.12450 adi_EST_assem_10055|g.12450  ,adig39,S , 1, -, -, -,  N,-,457,-,-
adi_EST_assem_10056|m.12451 adi_EST_assem_10056|g.12451  ,adig40,S , 5, -, -, -,  N,-,375,-,-
adi_EST_assem_10057|m.12452 adi_EST_assem_10057|g.12452  ,adig41,_ , 3, -, -, -,  N,-,488,-,-
adi_EST_assem_10058|m.12453 adi_EST_assem_10058|g.12453  ,adig42,_ , 2, -, -, -,  N,-,295,-,-
adi_EST_assem_10059|m.12454 adi_EST_assem_10059|g.12454  ,adig43,_ , 1, -, -, -,  N,-,145,-,-
adi_EST_assem_10060|m.12456 adi_EST_assem_10060|g.12456  ,adig44,M , 3, -, -, -,  Y,-,160,-,-
adi_EST_assem_10061|m.12458 adi_EST_assem_10061|g.12458  ,adig45,_ , 2, -, -, -,  N,-,127,-,-
adi_EST_assem_10062|m.12459 adi_EST_assem_10062|g.12459  ,adig46,_ , 1, -, -, -,  N,-,1069,-,-
adi_EST_assem_10063|m.12462 adi_EST_assem_10063|g.12462  ,adig47,_ , 4, -, -, -,  N,-,199,-,-
adi_EST_assem_10065|m.12463 adi_EST_assem_10065|g.12463  ,adig48,_ , 2, -, -, -,  N,-,558,-,-
adi_EST_assem_10067|m.12466 adi_EST_assem_10067|g.12466  ,adig49,_ , 4, hsap17, mmus345, -,  Y,SCP2,544,Scp2,-
adi_EST_assem_10068|m.12468 adi_EST_assem_10068|g.12468  ,adig50,_ , 2, -, -, -,  N,-,578,-,-
adi_EST_assem_10071|m.12471 adi_EST_assem_10071|g.12471  ,adig51,M , 5, -, -, -,  N,-,304,-,-
adi_EST_assem_10072|m.12472 adi_EST_assem_10072|g.12472  ,adig52,_ , 1, -, -, -,  N,-,176,-,-
adi_EST_assem_10073|m.12473 adi_EST_assem_10073|g.12473  ,adig53,_ , 1, -, -, -,  N,-,982,-,-
adi_EST_assem_10076|m.12476 adi_EST_assem_10076|g.12476  ,adig54,_ , 2, -, -, -,  N,-,539,-,-
adi_EST_assem_10078|m.12478 adi_EST_assem_10078|g.12478  ,adig55,_ , 5, -, -, -,  N,-,717,-,-
adi_EST_assem_10079|m.12480 adi_EST_assem_10079|g.12480  ,adig56,M , 4, -, -, -,  N,-,963,-,-
adi_EST_assem_1008|m.1592 adi_EST_assem_1008|g.1592  ,adig57,M , 5, hsap1544, mmus454, -,  Y,MMAB,216,Mmab,-
adi_EST_assem_10081|m.12481 adi_EST_assem_10081|g.12481  ,adig58,_ , 2, -, -, -,  N,-,282,-,-
adi_EST_assem_10082|m.12483 adi_EST_assem_10082|g.12483  ,adig59,_ , 1, -, -, -,  N,-,2055,-,-
adi_EST_assem_10086|m.12485 adi_EST_assem_10086|g.12485  ,adig60,M , 4, -, -, -,  N,-,369,-,-
adi_EST_assem_10087|m.12488 adi_EST_assem_10087|g.12488  ,adig61,M , 5, -, -, -,  N,-,135,-,-
adi_EST_assem_10087|m.12487 adi_EST_assem_10087|g.12487  ,adig62,_ , 2, -, -, -,  N,-,162,-,-
adi_EST_assem_10088|m.12490 adi_EST_assem_10088|g.12490  ,adig63,M , 3, -, -, -,  Y,-,931,-,-
adi_EST_assem_1009|m.1593 adi_EST_assem_1009|g.1593  ,adig64,_ , 5, -, -, -,  N,-,172,-,-
adi_EST_assem_10090|m.12492 adi_EST_assem_10090|g.12492  ,adig65,_ , 5, -, -, -,  N,-,313,-,-
adi_EST_assem_10092|m.12494 adi_EST_assem_10092|g.12494  ,adig66,_ , 3, -, -, -,  N,-,822,-,-
adi_EST_assem_10094|m.12495 adi_EST_assem_10094|g.12495  ,adig67,_ , 2, -, -, -,  N,-,405,-,-
adi_EST_assem_10095|m.12496 adi_EST_assem_10095|g.12496  ,adig68,S , 1, -, -, -,  N,-,385,-,-
adi_EST_assem_10098|m.12498 adi_EST_assem_10098|g.12498  ,adig69,_ , 3, -, -, -,  N,-,209,-,-
adi_EST_assem_101|m.173 adi_EST_assem_101|g.173  ,adig70,_ , 1, -, -, -,  N,-,482,-,-
adi_EST_assem_1010|m.1594 adi_EST_assem_1010|g.1594  ,adig71,S , 1, -, -, -,  N,-,273,-,-
adi_EST_assem_1010|m.1595 adi_EST_assem_1010|g.1595  ,adig72,_ , 3, -, -, -,  N,-,119,-,-
adi_EST_assem_10104|m.12499 adi_EST_assem_10104|g.12499  ,adig73,_ , 3, -, -, -,  N,-,540,-,-
adi_EST_assem_10105|m.12500 adi_EST_assem_10105|g.12500  ,adig74,_ , 3, -, -, -,  N,-,213,-,-
adi_EST_assem_10106|m.12501 adi_EST_assem_10106|g.12501  ,adig75,_ , 5, -, -, -,  N,-,506,-,-
adi_EST_assem_10107|m.12502 adi_EST_assem_10107|g.12502  ,adig76,_ , 3, -, -, -,  N,-,287,-,-
adi_EST_assem_10109|m.12503 adi_EST_assem_10109|g.12503  ,adig77,_ , 2, -, -, -,  N,-,219,-,-
adi_EST_assem_1011|m.1596 adi_EST_assem_1011|g.1596  ,adig78,S , 4, -, -, -,  N,-,130,-,-
